en,es,description,file,hash
"is larger than the max. allowed filesize.","es mayor que el tamaño máximo de archivo permitido.",,site/modules/FrontendForms/Formelements/CustomRules.php,2588b342e65a171fe8e5433b310a9223
"is of one of the forbidden file types: %s.","es de uno de los tipos de archivo prohibidos: %s.",,site/modules/FrontendForms/Formelements/CustomRules.php,7d0b6ffe466c0b12216be0168d5c2136
"is not a valid time. You have to enter the time in this format: HH:MM:SS (fe. 19:00:00)","no es una hora válida. Debes ingresar la hora en este formato: HH:MM:SS (por ejemplo, 19:00:00)",,site/modules/FrontendForms/Formelements/CustomRules.php,f0c45ecb171ec186a5dbc0ce9957c073
"is not a valid month. You have to enter the month in this format including the year: YYYY-MM (fe. 2023-06)","no es un mes válido. Debes ingresar el mes en este formato incluyendo el año: YYYY-MM (por ejemplo, 2023-06)",,site/modules/FrontendForms/Formelements/CustomRules.php,cba20ded2eec02144db964c8fab90000
"is not a valid week. You have to enter the week in this format including the year: YYYY-Www (fe. 2023-W06)","no es una semana válida. Debes ingresar la semana en este formato incluyendo el año: YYYY-Www (por ejemplo, 2023-W06)",,site/modules/FrontendForms/Formelements/CustomRules.php,fb6eb0f6821ca0cfffc7fb19fc2b1dde
"is not a valid hexadecimal color code.","no es un código de color hexadecimal válido.",,site/modules/FrontendForms/Formelements/CustomRules.php,47d0b991eb42ea41be94a77c66ad608b
"must be before %s.","debe ser anterior a %s.",,site/modules/FrontendForms/Formelements/CustomRules.php,631c49fb2a0a41ae81fb7c7dc09a6571
"must be after %s.","debe ser posterior a %s.",,site/modules/FrontendForms/Formelements/CustomRules.php,b83a396a69b272c4b79df4a61c18009f
"must be within the allowed time range.","debe estar dentro del rango de tiempo permitido.",,site/modules/FrontendForms/Formelements/CustomRules.php,265d89403b5c013461609c89ab268bc7
"must be outside the forbidden time range.","debe estar fuera del rango de tiempo prohibido.",,site/modules/FrontendForms/Formelements/CustomRules.php,0f3f63f95068a11bfa7ad25ca209fedc
"contains invalid characters for a name.","contiene caracteres inválidos para un nombre.",,site/modules/FrontendForms/Formelements/CustomRules.php,3218c4d1407f03ef0c210f61d3f5c19c
"contains a file that has the same file name as a file stored in the destination directory.","contiene un archivo que tiene el mismo nombre que un archivo almacenado en el directorio de destino.",,site/modules/FrontendForms/Formelements/CustomRules.php,8eae7d44a736423d717bfe942ae4855a
"Please add only an array as second parameter.","Por favor, agrega solo un arreglo como segundo parámetro.",,site/modules/FrontendForms/Formelements/CustomRules.php,53948e8d9415688d2cc9a14f2d39e32f
"contains not the correct answer.","no contiene la respuesta correcta.",,site/modules/FrontendForms/Formelements/CustomRules.php,344c4c52e2af19e1a0b9a78d95b46bd4
"is not in the correct format.","no está en el formato correcto.",,site/modules/FrontendForms/Formelements/CustomRules.php,717bbd629cd6af3c2239e23329293280
"has not been solved correctly.","no ha sido resuelto correctamente.",,site/modules/FrontendForms/Formelements/CustomRules.php,c4e23eb773320ea4b732526b763d3849
"contains not allowed characters. Cyrillic name may contain lowercase and uppercase а-я and hyphen (no whitespaces).","contiene caracteres no permitidos. El nombre cirílico puede contener letras minúsculas y mayúsculas а-я y guion (sin espacios en blanco).",,site/modules/FrontendForms/Formelements/CustomRules.php,8092f541b2a83fca68b110c6c91f66ba
"This email was generated automatically. So please do not reply to this email.","Este correo electrónico fue generado automáticamente. Por favor, no respondas a este correo.",,site/modules/FrontendForms/Formelements/Form.php,fa1cb3adb3f8108c13402b3f24ca237b
"Please be patient... the form will be validated!","¡Por favor, ten paciencia... el formulario será validado!",,site/modules/FrontendForms/Formelements/Form.php,e4e8a61a31a079875c2721207825142e
n/a,n/a,,site/modules/FrontendForms/Formelements/Form.php,274b68192b056e268f128ff63bfcd4a4
Domain,Dominio,,site/modules/FrontendForms/Formelements/Form.php,eae639a70006feff484a39363c977e24
"Visited page","Página visitada",,site/modules/FrontendForms/Formelements/Form.php,1148d7bddfe056b3cc5a4fcf68227d19
IP,IP,,site/modules/FrontendForms/Formelements/Form.php,a12a3079e14ced46e69ba52b8a90b21a
Date/time,Fecha/hora,,site/modules/FrontendForms/Formelements/Form.php,b6e43da299780697382d42fc98d3959c
Time,Hora,,site/modules/FrontendForms/Formelements/Form.php,a76d4ef5f3f6a672bbfab2865563e530
Date,Fecha,,site/modules/FrontendForms/Formelements/Form.php,44749712dbec183e983dcd78a7736c41
Username,Nombre de usuario,,site/modules/FrontendForms/Formelements/Form.php,f6039d44b29456b20f8f373155ae4973
Browser,Navegador,,site/modules/FrontendForms/Formelements/Form.php,ef15fd2f45e6bb5ce57587895ba64f93
"This is an auto generated message, please do not reply.","Este es un mensaje generado automáticamente, por favor no respondas.",,site/modules/FrontendForms/Formelements/Form.php,665de5f0541888cc1c06e12ad167e513
"%s is not a valid IP address.","%s no es una dirección IP válida.",,site/modules/FrontendForms/Formelements/Form.php,cae724dd18de0c8ca83d1e05bc546dbd
"All fields marked with (*) are mandatory and must be completed.","Todos los campos marcados con (*) son obligatorios y deben completarse.",,site/modules/FrontendForms/Formelements/Form.php,feaed8b52507d421a9953e0a9ec9a687
"Thank you for your message.","Gracias por tu mensaje.",,site/modules/FrontendForms/Formelements/Form.php,a0e0f33630289d49200c61cac7900200
"Sorry, some errors occur. Please check your inputs once more.","Lo sentimos, ocurrieron algunos errores. Por favor, revisa tus entradas nuevamente.",,site/modules/FrontendForms/Formelements/Form.php,552663e8ba6eb0a7c5c16727f8d19bcc
"Please verify that you are a human and not a bot.","Por favor, verifica que eres humano y no un bot.",,site/modules/FrontendForms/Formelements/Form.php,4242b7d19729028c08f56fae785702c7
"Please fill out the security question.","Por favor, completa la pregunta de seguridad.",,site/modules/FrontendForms/Formelements/Form.php,d0c2b717657a0924062bd7c85fb01bea
"The answer is wrong!","¡La respuesta es incorrecta!",,site/modules/FrontendForms/Formelements/Form.php,a3d9ae2d065e5a27c531a7dacd1735a4
"The Slider-Captcha was not solved correctly.","El Captcha de deslizador no fue resuelto correctamente.",,site/modules/FrontendForms/Formelements/Form.php,85b79eefe57522eeae18cd39fb97837a
"Please do not fill out this field","Por favor, no completes este campo",,site/modules/FrontendForms/Formelements/Form.php,e02d8cd38e0f708a9633f46793e31a27
"The CAPTCHA","El CAPTCHA",,site/modules/FrontendForms/Formelements/Form.php,d057415baac33355d5a125df279bd512
attempts,intentos,,site/modules/FrontendForms/Formelements/Form.php,79845fb11e473b1a0811ca2543f04b9c
attempt,intento,,site/modules/FrontendForms/Formelements/Form.php,1db222fece0e7454c122788bf892adf8
"You have %s %s left until you will be blocked due to security reasons.","Te quedan %s %s antes de que seas bloqueado por razones de seguridad.",,site/modules/FrontendForms/Formelements/Form.php,45010ad705310127fdc90740a9ffd232
"This is failed attempt number %s. This is your last attempt to send the form. After that you will be blocked due to security reasons.","Este es el intento fallido número %s. Este es tu último intento para enviar el formulario. Después de esto, serás bloqueado por razones de seguridad.",,site/modules/FrontendForms/Formelements/Form.php,47ad76bd199affac60644bad8dcb8061
"You do not have Javascript enabled. This could cause problems. Please enable Javascript to submit the form without any problems.","No tienes Javascript habilitado. Esto podría causar problemas. Por favor, habilita Javascript para enviar el formulario sin inconvenientes.",,site/modules/FrontendForms/Formelements/Form.php,8f42b5d8ad7d0119ad65510e26fa715c
"We are sorry, but your IP address %s is on the list of forbidden IP addresses. Therefore the form will not be displayed. If you think your IP address is mistakenly on the list, please contact the administrator of the site.","Lo sentimos, pero tu dirección IP %s está en la lista de direcciones IP prohibidas. Por lo tanto, el formulario no se mostrará. Si crees que tu dirección IP está en la lista por error, por favor contacta al administrador del sitio.",,site/modules/FrontendForms/Formelements/Form.php,092284a62a0f8c62fa528c0cfd3d157c
"You have not added a question for your question CAPTCHA!","¡No has añadido una pregunta para tu CAPTCHA de pregunta!",,site/modules/FrontendForms/Formelements/Form.php,1bb62f28bc5d389b36a0e42b2a2d6a63
"You have not added some answers for your question CAPTCHA!","¡No has añadido respuestas para tu CAPTCHA de pregunta!",,site/modules/FrontendForms/Formelements/Form.php,1661e10f0e3721d8a4c907fee18e6425
"If you do not correct this error, you cannot use the simple question CAPTCHA and the Captcha will not be displayed.","Si no corriges este error, no podrás usar el CAPTCHA de pregunta simple y el Captcha no se mostrará.",,site/modules/FrontendForms/Formelements/Form.php,7101c396b133aa31a4ddfc686b2c093a
"You have reached the max. number of allowed attempts and therefore you cannot submit the form once more. To reset the blocking and to submit the form anyway you have to close this browser, open it again and visit this page once more.","Has alcanzado el número máximo de intentos permitidos y, por lo tanto, no puedes enviar el formulario nuevamente. Para restablecer el bloqueo y enviar el formulario de todos modos, debes cerrar este navegador, volver a abrirlo y visitar esta página otra vez.",,site/modules/FrontendForms/Formelements/Form.php,9604672fb8882c926b1fcf42c89576d7
year,año,,site/modules/FrontendForms/Formelements/Form.php,84cdc76cabf41bd7c961f6ab12f117d8
years,años,,site/modules/FrontendForms/Formelements/Form.php,75aeb98e5241592ad6a6c2c4c78a16ef
month,mes,,site/modules/FrontendForms/Formelements/Form.php,7436f942d5ea836cb84f1bb2527d8286
months,meses,,site/modules/FrontendForms/Formelements/Form.php,da36cfaf48b9e19896e23e1207040d1e
day,día,,site/modules/FrontendForms/Formelements/Form.php,628b7db04235f228d40adc671413a8c8
days,días,,site/modules/FrontendForms/Formelements/Form.php,44fdec47036f482b68b748f9d786801b
hour,hora,,site/modules/FrontendForms/Formelements/Form.php,896c55cc5e46fab38ce9f51ebf7bfcd3
hours,horas,,site/modules/FrontendForms/Formelements/Form.php,73cdddd7730abfc13a55efb9f5685a3b
minute,minuto,,site/modules/FrontendForms/Formelements/Form.php,0a7d55be9d12a369a6a8da0fb517fba4
minutes,minutos,,site/modules/FrontendForms/Formelements/Form.php,640fd0cc0ffa0316ae087652871f4486
second,segundo,,site/modules/FrontendForms/Formelements/Form.php,a9f0e61a137d86aa9db53465e0801612
seconds,segundos,,site/modules/FrontendForms/Formelements/Form.php,783e8e29e6a8c3e22baa58a19420eb4f
"Email could not be sent due to possible wrong email configuration settings.","El correo electrónico no pudo ser enviado debido a posibles configuraciones incorrectas de correo electrónico.",,site/modules/FrontendForms/Formelements/Form.php,72cf6df09879e3c5e34778bf6f1bc965
"seconds left","segundos restantes",plural,site/modules/FrontendForms/Formelements/FormValidation.php,c2d918e53348ee8896137bec79036f84
"second left","segundo restante",singular,site/modules/FrontendForms/Formelements/FormValidation.php,1793e600a6822489f25244c196a05085
"You have submitted the form within %s. This seems pretty fast for a human. Your behavior is more similar to a Spam bot. Please wait at least %s until you submit the form once more.","Has enviado el formulario en %s. Esto parece muy rápido para un humano. Tu comportamiento se asemeja más al de un bot de spam. Por favor, espera al menos %s antes de enviar el formulario nuevamente.",,site/modules/FrontendForms/Formelements/FormValidation.php,1196c16ef68e26acc46dae99fcc50522
"You have submitted the form after %s. This seems pretty slow for a human. Your behavior is more similar to a Spam bot. Please submit the form within %s the next time. You are blocked now and you have to close the browser to unlock, open it again and visit this page once more.","Has enviado el formulario después de %s. Esto parece muy lento para un humano. Tu comportamiento se asemeja más al de un bot de spam. Por favor, envía el formulario dentro de %s la próxima vez. Estás bloqueado ahora y debes cerrar el navegador para desbloquear, volver a abrirlo y visitar esta página otra vez.",,site/modules/FrontendForms/Formelements/FormValidation.php,2447d344db3fb15973b24ddd51a615b8
month,mes,,site/modules/FrontendForms/Formelements/FormValidation.php,7436f942d5ea836cb84f1bb2527d8286
week,semana,,site/modules/FrontendForms/Formelements/FormValidation.php,172a8327fcd3685ab3c0f740d031da09
day,día,,site/modules/FrontendForms/Formelements/FormValidation.php,628b7db04235f228d40adc671413a8c8
hour,hora,,site/modules/FrontendForms/Formelements/FormValidation.php,896c55cc5e46fab38ce9f51ebf7bfcd3
minute,minuto,,site/modules/FrontendForms/Formelements/FormValidation.php,0a7d55be9d12a369a6a8da0fb517fba4
second,segundo,,site/modules/FrontendForms/Formelements/FormValidation.php,a9f0e61a137d86aa9db53465e0801612
months,meses,,site/modules/FrontendForms/Formelements/FormValidation.php,da36cfaf48b9e19896e23e1207040d1e
weeks,semanas,,site/modules/FrontendForms/Formelements/FormValidation.php,ae60f11ab51860bdb22794a943335a34
days,días,,site/modules/FrontendForms/Formelements/FormValidation.php,44fdec47036f482b68b748f9d786801b
hours,horas,,site/modules/FrontendForms/Formelements/FormValidation.php,73cdddd7730abfc13a55efb9f5685a3b
minutes,minutos,,site/modules/FrontendForms/Formelements/FormValidation.php,640fd0cc0ffa0316ae087652871f4486
seconds,segundos,,site/modules/FrontendForms/Formelements/FormValidation.php,783e8e29e6a8c3e22baa58a19420eb4f
and,y,,site/modules/FrontendForms/Formelements/FormValidation.php,be5d5d37542d75f93a87094459f76678
"Please do not upload files larger than %s","Por favor, no subas archivos mayores a %s",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,d8b0ef2b22e79194c0cb1e79340e6767
"Allowed file types: %s","Tipos de archivo permitidos: %s",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,a0072ad6390e4bf1839ad0ede52c2e69
"%s should only contain letters","%s solo debe contener letras",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,1200911cc09227463a876a1e56e34536
"%s should only contain letters and numbers","%s solo debe contener letras y números",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,4083de02c277bb0425f3aa9bad2332d0
"%s should only contain ascii characters","%s solo debe contener caracteres ASCII",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,9dde428a87d3efada8d9a0c198ac0edd
"%s should only contain letters, numbers, underscores or hyphens","%s solo debe contener letras, números, guiones bajos o guiones",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,fbb7405f1ba06168450a02769a5e518e
"%s should be a valid URL starting with http:// or https://","%s debe ser una URL válida que comience con http:// o https://",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,120dffae912cfa02a117a7684bed3c95
"%s should be a valid email address","%s debe ser una dirección de correo electrónico válida",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,b250e98dcbdfaed9ef7c189ee93dbdd9
"%s should only numbers (integers or floats)","%s solo debe contener números (enteros o decimales)",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,e66d38c251a0c16f1f48e5b31e87669b
"%s should only contain integers","%s solo debe contener enteros",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,175b959de6b30258c49097a92d3b3957
"%s should only contain a valid IP address in the format x.x.x.x","%s solo debe contener una dirección IP válida en el formato x.x.x.x",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,0b7dbda7a3f1f8322681cca8107c4e86
"%s should only contain a valid IPv4 address in the format x.x.x.x","%s solo debe contener una dirección IPv4 válida en el formato x.x.x.x",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,a0d61e675ea7f8e7b05398a8b1a65cb9
"%s should only contain a valid IPv6 address in the format x:x:x:x:x:x:x:x","%s solo debe contener una dirección IPv6 válida en el formato x:x:x:x:x:x:x:x",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,c524413c58ede6f4029283b534da7846
"%s contains not allowed characters. Please use only letters, numbers, underscores, periods, hyphens and @signs (no whitespaces)","%s contiene caracteres no permitidos. Por favor, usa solo letras, números, guiones bajos, puntos, guiones y signos @ (sin espacios en blanco)",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,aae770c1602b57559f3b60fd530b0373
"%s should only contain a valid date in the format %s","%s solo debe contener una fecha válida en el formato %s",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,d8c7bf5cd88682b17b9f4b1eba991f92
"%s contains an invalid value","%s contiene un valor inválido",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,bb4345694f2874fabb71ab8e01c48df6
"%s should contain the exact value %s","%s debe contener el valor exacto %s",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,5023212f0c2560a1dfd4a1547f2e738c
"%s should not contain the value %s","%s no debe contener el valor %s",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,5bf4df175a2c543ba607e1f8e8ffcd65
"%s should only contain a valid week in the format YYYY-Www","%s solo debe contener una semana válida en el formato YYYY-Www",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,b5636cc5ae7dc2e4495ac2dd2adada93
"%s should only contain a valid month in the format YYYY-MM","%s solo debe contener un mes válido en el formato YYYY-MM",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,e1c152c6ff80439f69e2db72bb3ade3b
"%s should be a valid HEX code in the format #XXX or #XXXXXX","%s debe ser un código HEX válido en el formato #XXX o #XXXXXX",,site/modules/FrontendForms/Formelements/Inputelements/Inputfields.php,98be58eb3446f813bc644faac5e42264
"File upload","Carga de archivo",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/InputFile.php,c4265549c1f4d79aea1e279149a6a084
"Select files","Seleccionar archivos",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/InputFile.php,1afe200fa26ba361f59b603b22ad6392
"Clear the input field","Limpiar el campo de entrada",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/InputFile.php,86a135398368af9fbb0a9d3f966e3706
"Show password","Mostrar contraseña",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/InputPassword.php,a1cc7ba89ca3016cf59d7c31506a9681
"The password must be at least %s characters and must contain characters of the following categories: %s.","La contraseña debe tener al menos %s caracteres y debe contener caracteres de las siguientes categorías: %s.",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/InputPassword.php,8bc6641f570b88866300ca703223bf6b
"The password must be at least %s characters.","La contraseña debe tener al menos %s caracteres.",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/InputPassword.php,3d55c273179acb11e30d1a53f8d8625e
Email,Correo electrónico,,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/Email.php,ce8ae9da5b7cd6c3df2929543a9af92d
"Upload multiple files","Subir múltiples archivos",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/FileUploadMultiple.php,c837009ce96fdfc1615d310bc667f996
"Upload single file","Subir un solo archivo",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/FileUploadSingle.php,e14f1d680e8b3d40bc2744468332eb46
Name,Nombre,,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/Name.php,49ee3087348e8d44e1feda1917443987
Password,Contraseña,"set default label",site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/Password.php,dc647eb65e6711e155375218212b3964
"Password Confirmation","Confirmación de contraseña","set default label",site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/PasswordConfirmation.php,c2b7527a6421ad4a0c0089d87290d1cd
Phone,Teléfono,,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/Phone.php,bcc254b55c4a1babdf1dcb82c207506b
"I accept the privacy policy","Acepto la política de privacidad",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/Privacy.php,28f678f8feb29d236b6dfcb02190ba21
"You have to accept our privacy policy","Debes aceptar nuestra política de privacidad",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/Privacy.php,9a5b98e025ebe5fd1adbddccc94ad638
"Privacy Policy","Política de privacidad",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/Privacy.php,fa2ead697d9998cbc65c81384e6533d5
"To the Privacy Policy page","A la página de la política de privacidad",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/Privacy.php,2b91037b0240c93155085ce8c0768cb9
"Send a copy of my message to me","Enviarme una copia de mi mensaje",,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/SendCopy.php,7313e5cce02f10d1d6a22dea1aedc9eb
Subject,Asunto,,site/modules/FrontendForms/Formelements/Inputelements/Inputs/defaults/Subject.php,c7892ebbb139886662c6f2fc8c450710
